qaccver	sacc	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Bin_46_alphaProt_02018	WP_004207105	WP_004207105|Sphingobium_yanoikuyae_ATCC_51230|Non	36.667	120	63	5	17	132	137	247	9.13E-13	62.4
Bin_46_alphaProt_02697	CBX88679	CBX88679|Hydrogenophaga_sp_PBC|Abs	59.43	456	172	3	1	453	1	446	0	571
Bin_46_alphaProt_03563	ZP_03542656	ZP_03542656|Comamonas_testosteroni_KF-1|Non	61.088	239	92	1	1	238	199	437	2.04E-99	293
Bin_46_alphaProt_05163	YP_001208476	YP_001208476|Bradyrhizobium_sp_ORS278|Non	70.575	435	128	0	1	435	1	435	0	660
Bin_46_alphaProt_05209	WP_007012513	WP_007012513|Novosphingobium_pentaromativorans_US6-1|Non	31.008	129	73	5	2	126	136	252	7.82E-11	56.6
Bin_46_alphaProt_05588	YP_119056	YP_119056|Nocardia_farcinica_IFM_10152|Non	35.047	214	128	5	12	217	14	224	1.48E-33	124
Bin_46_alphaProt_05734	BAG30835	BAG30835|Neptuniibacter_sp_CAR-SF|Ant	31.658	199	119	5	45	234	44	234	6.70E-27	108
Bin_4C_Thiobacillus_00234	YP_001262032	YP_001262032|Sphingomonas_wittichii_RW1|Non	34.146	82	50	3	4	82	44	124	9.47E-11	53.9
Bin_4C_Thiobacillus_01212	YP_003839648	YP_003839648|Caldicellulosiruptor_obsidiansis_OB47|Non	26.016	369	222	13	122	456	115	466	3.88E-24	101
Bin_4C_Thiobacillus_01287	WP_008326983	WP_008326983|Haloferax_elongans|Non	33.784	148	89	4	4	143	22	168	3.89E-16	76.3
Bin_50_Bosea_02461	YP_002540403	YP_002540403|Agrobacterium_radiobacter_K84|Non	77.817	284	63	0	1	284	1	284	4.46E-169	466
Bin_50_Bosea_02462	YP_002540402	YP_002540402|Agrobacterium_radiobacter_K84|Non	63.958	283	100	1	5	285	2	284	1.55E-129	366
Bin_50_Bosea_02543	EHR76951	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	26.95	141	91	2	24	152	333	473	7.20E-12	58.9
Bin_50_Bosea_03608	WP_007436449	WP_007436449|Acetobacteraceae_bacterium_AT-5844|Non	70.112	445	130	3	1	443	1	444	0	642
Bin_50_Bosea_03750	YP_081067	YP_081067|Bacillus_licheniformis_DSM_13=ATCC_14580|Non	27.941	204	125	9	17	208	13	206	1.37E-12	63.2
Bin_54_Commonadaceae_00254	Q52185	Q52185|Pseudomonas_pseudoalcaligenes_POB310_plasmid|Pob	94.621	409	21	1	1	409	1	408	0	807
Bin_54_Commonadaceae_00286	BAC65426	BAC65426|Sphingomonas_sp_P2|Sa1	51.478	406	195	2	21	426	13	416	1.23E-150	431
Bin_54_Commonadaceae_00431	YP_003552047	YP_003552047|Candidatus_Puniceispirillum_marinum_IMCC1322|Non	31.765	170	107	4	7	173	51	214	3.15E-19	85.5
Bin_54_Commonadaceae_00535	WP_009516788	WP_009516788|Hydrogenophaga_sp_PBC|Non	99.754	407	1	0	1	407	1	407	0	844
Bin_54_Commonadaceae_00599	WP_009515933	WP_009515933|Hydrogenophaga_sp_PBC|Non	99.611	257	1	0	1	257	96	352	0	530
Bin_54_Commonadaceae_00625	WP_009516770	WP_009516770|Hydrogenophaga_sp_PBC|Non	100	337	0	0	1	337	60	396	0	698
Bin_54_Commonadaceae_01447	WP_009515010	WP_009515010|Hydrogenophaga_sp_PBC|Non	100	166	0	0	1	166	246	411	2.68E-120	342
Bin_54_Commonadaceae_01794	WP_009518971	WP_009518971|Hydrogenophaga_sp_PBC|Non	99.656	291	1	0	1	291	1	291	0	594
Bin_54_Commonadaceae_01992	YP_558915	YP_558915|Burkholderia_xenovorans_LB400|Non	32.314	229	121	6	13	227	11	219	2.87E-24	100
Bin_54_Commonadaceae_03049	WP_017728762	WP_017728762|Bacillus_sp_L1|Non	33.333	81	53	1	7	87	28	107	1.45E-11	57
Bin_5A_Novosphingobium_00067	BAH47614	BAH47614|uncultured_bacterium|Bzt	84.842	442	66	1	1	441	1	442	0	803
Bin_5A_Novosphingobium_00172	YP_007562852	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	34.135	208	128	6	36	237	20	224	3.35E-33	126
Bin_5A_Novosphingobium_00269	YP_496513	YP_496513|Novosphingobium_aromaticivorans_DSM_12444|Non	73.477	279	74	0	3	281	2	280	1.02E-157	437
Bin_5A_Novosphingobium_00270	YP_004304861	YP_004304861|Polymorphum_gilvum_SL003B-26A1|Non	35.354	99	64	0	20	118	302	400	6.36E-14	64.3
Bin_5A_Novosphingobium_00713	WP_005444914	WP_005444914|Saccharomonospora_azurea|Non	35.437	206	119	5	59	252	16	219	2.73E-32	125
Bin_5A_Novosphingobium_00840	YP_119056	YP_119056|Nocardia_farcinica_IFM_10152|Non	24.138	377	227	8	18	374	16	353	5.22E-26	106
Bin_5A_Novosphingobium_00841	YP_004590679	YP_004590679|Enterobacter_aerogenes_KCTC_2190|Non	30.537	298	169	7	33	293	24	320	1.24E-33	127
Bin_5A_Novosphingobium_00874	YP_001668446	YP_001668446|Pseudomonas_putida_GB-1|Non	33.175	211	132	3	22	224	26	235	4.46E-36	134
Bin_5A_Novosphingobium_01689	WP_010412099	WP_010412099|Citromicrobium_sp_JLT1363|Non	87.77	278	34	0	1	278	1	278	0	516
Bin_5A_Novosphingobium_01690	WP_008833631	WP_008833631|Sphingomonas_sp_LH128|Non	35.955	89	57	0	19	107	299	387	8.38E-13	61.6
Bin_5A_Novosphingobium_01966	YP_003774765	YP_003774765|Herbaspirillum_seropedicae_SmR1|Non	32.701	211	137	3	10	215	10	220	1.14E-33	127
Bin_5A_Novosphingobium_01971	WP_019153066	WP_019153066|Bacillus_massiliosenegalensis|Non	28.049	164	91	6	39	185	29	182	7.37E-11	58.2
Bin_5A_Novosphingobium_02669	ZP_01015498	ZP_01015498|Maritimibacter_alkaliphilus_HTCC2654|Non	31.683	202	121	4	1	188	13	211	2.33E-22	94
Bin_5A_Novosphingobium_02677	WP_019577944	WP_019577944|Curvibacter_lanceolatus|Non	31.973	147	95	2	37	183	47	188	2.19E-21	91.7
Bin_5A_Novosphingobium_02735	WP_019577944	WP_019577944|Curvibacter_lanceolatus|Non	31.25	176	110	5	26	196	21	190	1.82E-23	97.4
Bin_5A_Novosphingobium_03239	YP_004538820	YP_004538820|Novosphingobium_sp_PP1Y|Non	80.479	292	57	0	1	292	18	309	1.41E-179	494
Bin_5A_Novosphingobium_03605	YP_496954	YP_496954|Novosphingobium_aromaticivorans_DSM_12444|Non	80.493	446	87	0	3	448	2	447	0	768
Bin_5A_Novosphingobium_03653	YP_005428204	YP_005428204|Marinobacter_hydrocarbonoclasticus_ATCC_49840|Non	30.088	226	143	5	18	230	25	248	4.68E-33	126
Bin_5A_Novosphingobium_03665	WP_017501640	WP_017501640|alpha_proteobacterium_LLX12A|Non	83.667	300	49	0	1	300	1	300	0	538
Bin_5A_Novosphingobium_03719	YP_557507	YP_557507|Burkholderia_xenovorans_LB400|Non	33.714	175	105	5	3	170	21	191	1.19E-24	100
Bin_5A_Novosphingobium_03763	WP_007857746	WP_007857746|Acidovorax_sp_CF316|Non	77.273	330	75	0	1	330	1	330	0	548
Bin_5A_Novosphingobium_03909	YP_001165813	YP_001165813|Novosphingobium_aromaticivorans_DSM_12444|Non	88.366	361	42	0	7	367	2	362	0	673
Bin_5A_Novosphingobium_03927	YP_293484	YP_293484|Ralstonia_eutropha_JMP134|Non	33.099	142	86	4	33	169	53	190	6.50E-17	78.2
Bin_64B_alphbetProt_00012	BAH80171	BAH80171|Lysobacter_sp_OC7|Bph	61.688	462	164	7	1	452	1	459	0	596
Bin_68_betalphProt_00260	WP_009515010	WP_009515010|Hydrogenophaga_sp_PBC|Non	90.931	408	37	0	1	408	1	408	0	772
Bin_68_betalphProt_00284	WP_009515010	WP_009515010|Hydrogenophaga_sp_PBC|Non	68.246	211	66	1	1	211	202	411	1.40E-102	299
Bin_68_betalphProt_00385	WP_009516078	WP_009516078|Hydrogenophaga_sp_PBC|Non	100	107	0	0	1	107	323	429	6.71E-75	224
Bin_6B_Sphingopyxis_00794	WP_019153066	WP_019153066|Bacillus_massiliosenegalensis|Non	29.012	162	91	5	26	173	31	182	2.55E-12	62.4
Bin_6B_Sphingopyxis_01611	YP_007562852	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	38.095	210	119	5	24	226	21	226	1.69E-37	137
Bin_7C_Shinella_00885	YP_002824213	YP_002824213|Rhizobium_sp_NGR234|Non	89.877	326	33	0	1	326	1	326	0	623
Bin_7C_Shinella_01230	YP_004931474	YP_004931474|Pseudoxanthomonas_spadix_BD-a59|Non	33.032	221	136	7	16	229	10	225	6.28E-32	122
Bin_7C_Shinella_02046	ZP_03266690	ZP_03266690|Burkholderia_sp_H160|Non	34.562	217	129	7	6	209	13	229	7.19E-33	125
Bin_7C_Shinella_05477	YP_001261249	YP_001261249|Sphingomonas_wittichii_RW1|Non	36.842	209	121	4	19	220	9	213	3.34E-39	142
Bin_8C_Acinibacterium_00033	EHR76951	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	33.333	132	75	2	6	124	339	470	5.04E-17	72.8
Bin_8C_Acinibacterium_01042	WP_019153066	WP_019153066|Bacillus_massiliosenegalensis|Non	28.421	190	117	7	45	222	35	217	1.37E-11	60.5
Bin_92_Hydrogenophaga_00049	WP_009519476	WP_009519476|Hydrogenophaga_sp_PBC|Non	99.259	405	3	0	1	405	1	405	0	829
Bin_9B_Tardiphaga_00951	EHR76951	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	31.852	135	79	2	28	149	339	473	7.70E-15	67.4
Bin_9B_Tardiphaga_01339	WP_002712837	WP_002712837|Afipia_clevelandensis_ATCC_49720|Non	99.336	452	3	0	1	452	1	452	0	939
unbinned_00044	YP_713611	YP_713611|Frankia_alni_ACN14a|Non	33.99	203	124	4	47	239	24	226	6.71E-33	126
unbinned_00051	ACD91670	ACD91670|Novosphingobium_sp_H25|Non	27.273	352	210	10	20	357	12	331	9.31E-28	111
unbinned_00056	ZP_05520031	ZP_05520031|Streptomyces_hygroscopicus_ATCC_53653|Non	29.74	269	156	6	1	247	1	258	3.30E-31	121
unbinned_00057	WP_004651113	WP_004651113|Acinetobacter_sp_ANC_3994|Non	31.343	201	126	5	51	242	28	225	1.20E-29	117
unbinned_00061	YP_006838592	YP_006838592|Cycloclasticus_sp_P1|Non	27.987	318	199	9	61	367	22	320	2.45E-32	125
unbinned_00066	BAG30835	BAG30835|Neptuniibacter_sp_CAR-SF|Ant	34.146	205	124	4	26	221	25	227	1.68E-33	127
unbinned_00766	WP_009516770	WP_009516770|Hydrogenophaga_sp_PBC|Non	93.182	396	27	0	1	396	1	396	0	778
unbinned_00897	EHR76951	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	39.241	158	82	6	7	160	329	476	1.56E-29	109
unbinned_01059	YP_001580641	YP_001580641|Burkholderia_multivorans_ATCC_17616|Non	55.414	314	140	0	1	314	1	314	8.78E-135	382
unbinned_01113	YP_743189	YP_743189|Alkalilimnicola_ehrlichii_MLHE-1|Non	28.188	298	165	11	2	284	21	284	4.75E-24	99
unbinned_01115	WP_017181781	WP_017181781|Sphingobium_xenophagum|Non	89.245	437	47	0	1	437	1	437	0	833
unbinned_01637	WP_020006750	WP_020006750|Salinicoccus_albus|Non	26.961	408	255	14	16	385	12	414	1.98E-35	132
unbinned_02052	YP_557510	YP_557510|Burkholderia_xenovorans_LB400|Non	37.288	177	94	9	2	172	19	184	7.54E-18	80.9
unbinned_02067	YP_984545	YP_984545|Acidovorax_sp_JS42|Cat	96.178	314	12	0	1	314	1	314	0	637
unbinned_02166	WP_005050729	WP_005050729|Microbacterium_laevaniformans|Non	100	464	0	0	1	464	1	464	0	971
unbinned_02997	WP_009070864	WP_009070864|Metallosphaera_yellowstonensis|Non	34.5	200	114	6	37	230	37	225	3.35E-24	102
unbinned_02999	YP_001268212	YP_001268212|Pseudomonas_putida_F1|Cum	26.829	246	142	9	1	232	1	222	5.62E-22	94.7
unbinned_03081	ZP_03542810	ZP_03542810|Comamonas_testosteroni_KF-1|Non	43.309	411	231	2	1	410	2	411	1.64E-121	357
unbinned_03094	ZP_06836636	ZP_06836636|Corynebacterium_ammoniagenes_DSM_20306|Non	32.346	405	229	10	20	384	23	422	2.45E-56	188
unbinned_03100	WP_017727651	WP_017727651|Bacillus_sp_L1|Non	46.336	423	221	4	1	422	1	418	1.15E-131	383
unbinned_03260	WP_007184080	WP_007184080|Hydrocarboniphaga_effusa|Non	100	310	0	0	1	310	1	310	0	643
unbinned_03349	YP_007562852	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	30.423	355	208	11	23	343	20	369	5.14E-40	144
unbinned_04036	AAD11452	AAD11452|Sphingomonas_sp_A8AN3|Cat	80.519	308	60	0	1	308	1	308	0	530
unbinned_04038	CAT03472	CAT03472|Sphingomonas_paucimobilis_EPA505|Dhb	66.667	135	39	3	1	131	166	298	1.08E-60	185
unbinned_04274	WP_007184409	WP_007184409|Hydrocarboniphaga_effusa|Non	99.751	402	1	0	19	420	1	402	0	833
unbinned_04276	WP_007184411	WP_007184411|Hydrocarboniphaga_effusa|Non	98.837	344	4	0	6	349	1	344	0	698
unbinned_04288	WP_007184423	WP_007184423|Hydrocarboniphaga_effusa|Non	100	455	0	0	1	455	1	455	0	949
unbinned_04290	WP_007184425	WP_007184425|Hydrocarboniphaga_effusa|Non	100	275	0	0	1	275	1	275	0	557
unbinned_04616	BAH80175	BAH80175|Lysobacter_sp_OC7|Dhb	61.458	288	111	0	1	288	1	288	1.49E-135	382
unbinned_05037	YP_495819	YP_495819|Novosphingobium_aromaticivorans_DSM_12444|Non	91.216	444	39	0	1	444	1	444	0	863
unbinned_05145	NP_887278	NP_887278|Bordetella_bronchiseptica_RB50|Non	84.989	453	68	0	2	454	1	453	0	832
unbinned_05194	AGS18337	AGS18337|Sphingobium_sp_YBL2|Pud	99.564	459	2	0	1	459	1	459	0	951
unbinned_05196	YP_001263902	YP_001263902|Sphingomonas_wittichii_RW1|Non	66.087	230	74	3	1	229	1	227	5.24E-92	270
unbinned_05319	WP_017727651	WP_017727651|Bacillus_sp_L1|Non	45.343	408	218	3	2	406	4	409	4.34E-128	373
unbinned_05973	WP_009518971	WP_009518971|Hydrogenophaga_sp_PBC|Non	92.982	285	20	0	1	285	1	285	0	550
unbinned_05974	WP_008373766	WP_008373766|Pseudomonas_sp_M47T1|Non	36.538	104	64	1	10	113	303	404	7.84E-15	66.6
unbinned_06104	WP_006395783	WP_006395783|Achromobacter_xylosoxidans|Non	80.131	458	88	3	8	464	15	470	0	772
unbinned_06115	ZP_01011464	ZP_01011464|Maritimibacter_alkaliphilus_HTCC2654|Non	30.159	189	121	6	7	189	9	192	1.78E-18	83.2
unbinned_06180	WP_009516078	WP_009516078|Hydrogenophaga_sp_PBC|Non	95.093	428	21	0	1	428	1	428	0	858
unbinned_06348	WP_007669962	WP_007669962|Caulobacter_sp_AP07|Non	41.328	271	152	5	4	270	3	270	7.58E-69	211
unbinned_06397	YP_004590679	YP_004590679|Enterobacter_aerogenes_KCTC_2190|Non	32.735	223	143	4	7	226	5	223	3.75E-34	129
unbinned_07193	WP_019546596	WP_019546596|Streptomyces_sulphureus|Non	34.874	238	132	9	22	251	27	249	1.75E-34	130
